student_id,first_name,last_name,gender,date_of_birth,grade_level_id,school_year_id,created_at,updated_at
1,Vito,Vega,Male,2005-10-03,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
2,Chauncey,Vega,Male,2006-12-17,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
3,Christy,Vega,Female,2007-11-03,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
4,Harriet,Vega,Female,2008-08-03,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
5,Kelli,Reed,Female,2005-09-19,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
6,Randolph,Reed,Male,2006-10-27,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
7,Sammy,Reed,Male,2007-04-14,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
8,Milagros,Reed,Female,2008-07-01,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
9,Shelly,Reed,Female,2009-06-03,3,1,2025-07-26 18:07:00,2025-07-26 18:07:00
10,Edna,Rivers,Female,2011-06-12,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
11,Major,Gillespie,Male,2005-10-23,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
12,Jocelyn,Gillespie,Female,2006-06-23,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
13,Augusta,Leblanc,Female,2011-09-26,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
14,Sammie,Hopkins,Male,2002-09-27,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
15,Dolly,Hopkins,Female,2003-06-27,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
16,Nona,Hopkins,Female,2004-07-02,8,1,2025-07-26 18:07:00,2025-07-26 18:07:00
17,Reinaldo,Hopkins,Male,2005-04-26,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
18,May,Hopkins,Female,2006-06-18,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
19,Saundra,Sellers,Female,2011-01-02,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
20,Darlene,Parks,Female,2007-11-11,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
21,Isabelle,Parks,Female,2008-08-23,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
22,Denis,Parks,Male,2009-04-05,3,1,2025-07-26 18:07:00,2025-07-26 18:07:00
23,Aurora,Parks,Female,2010-12-28,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
24,Evan,Parks,Male,2010-07-17,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
25,Laura,Avery,Female,2010-02-10,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
26,Rickey,Avery,Male,2010-06-11,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
27,Rachel,Mcfarland,Female,2003-03-22,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
28,Kathleen,Gould,Female,2004-06-27,8,1,2025-07-26 18:07:00,2025-07-26 18:07:00
29,Clinton,Gould,Male,2005-01-06,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
30,Micheal,Gould,Male,2006-11-08,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
31,Jennie,Gould,Female,2007-10-11,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
32,Jeanne,Gould,Female,2008-06-28,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
33,Ina,Britt,Female,2001-12-02,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
34,Sidney,Britt,Male,2002-01-01,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
35,Adele,Britt,Female,2003-01-10,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
36,Nikki,Fischer,Female,2010-02-01,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
37,Julianne,Sargent,Female,2007-04-04,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
38,Michael,Sargent,Female,2008-09-24,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
39,Samuel,Sargent,Male,2009-11-24,3,1,2025-07-26 18:07:00,2025-07-26 18:07:00
40,Hollie,Mcbride,Female,2010-05-11,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
41,Julian,Mcbride,Male,2010-02-23,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
42,Phillip,Camacho,Male,2001-11-22,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
43,Maura,Camacho,Female,2002-06-12,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
44,Alice,Lee,Female,2001-05-24,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
45,Jeanette,Lee,Female,2002-03-11,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
46,Herschel,Lee,Male,2003-10-02,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
47,Laurel,Rush,Female,2000-09-17,12,1,2025-07-26 18:07:00,2025-07-26 18:07:00
48,Lonnie,Rush,Male,2001-07-10,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
49,Lisa,Puckett,Female,2007-08-17,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
50,Leslie,Puckett,Male,2008-02-02,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
51,Aurora,Puckett,Female,2009-09-21,3,1,2025-07-26 18:07:00,2025-07-26 18:07:00
52,Jeffery,Puckett,Male,2010-01-09,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
53,Jacqueline,Crawford,Female,2007-03-28,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
54,Beau,Crawford,Male,2008-08-06,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
55,Carolyn,Crawford,Female,2009-06-14,3,1,2025-07-26 18:07:00,2025-07-26 18:07:00
56,Mack,Calhoun,Male,2009-10-16,3,1,2025-07-26 18:07:00,2025-07-26 18:07:00
57,Robin,Calhoun,Female,2010-10-22,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
58,Darrin,Hawkins,Male,2012-09-07,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
59,Maude,Hawkins,Female,2011-02-22,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
60,Hester,Hawkins,Female,2012-06-11,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
61,Tracy,Hawkins,Male,2012-04-06,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
62,Dolores,Adams,Female,2005-03-06,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
63,Ervin,Adams,Male,2006-11-02,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
64,Audra,Adams,Female,2007-02-20,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
65,Lea,Adams,Female,2008-06-28,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
66,Reginald,Adams,Male,2009-12-18,3,1,2025-07-26 18:07:00,2025-07-26 18:07:00
67,Tammy,Shields,Female,2010-09-24,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
68,Norris,Shields,Male,2011-11-17,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
69,Vickie,Langley,Female,2003-06-20,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
70,Rufus,Langley,Male,2004-02-02,8,1,2025-07-26 18:07:00,2025-07-26 18:07:00
71,Adriana,Buck,Female,2002-02-13,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
72,Mohammed,Buck,Male,2003-01-17,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
73,Walter,Manning,Male,2004-12-18,8,1,2025-07-26 18:07:00,2025-07-26 18:07:00
74,Tabitha,Manning,Female,2005-02-24,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
75,Meghan,Skinner,Female,2001-01-11,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
76,Collin,Skinner,Male,2002-12-15,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
77,Carey,Reese,Male,2006-05-09,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
78,Gabrielle,Reese,Female,2007-04-24,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
79,Marianne,Reese,Female,2008-08-14,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
80,Lawrence,Bauer,Male,2001-05-23,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
81,Anastasia,Bauer,Female,2002-11-21,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
82,Jordan,Chan,Male,2007-03-05,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
83,Lynda,Chan,Female,2008-04-26,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
84,Gavin,Todd,Male,2010-08-26,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
85,Lydia,Todd,Female,2011-03-24,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
86,Faye,Pugh,Female,2010-06-15,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
87,Cherie,Trevino,Female,2005-08-13,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
88,Clinton,Trevino,Male,2006-03-25,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
89,Lynda,Norris,Female,2003-10-13,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
90,Dianna,Norris,Female,2004-08-14,8,1,2025-07-26 18:07:00,2025-07-26 18:07:00
91,Fidel,Norris,Male,2005-01-21,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
92,Alfreda,Downs,Female,2004-09-27,8,1,2025-07-26 18:07:00,2025-07-26 18:07:00
93,Lauri,Mcdonald,Female,2011-08-20,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
94,Corinne,Whitehead,Female,2001-05-28,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
95,Terry,Whitehead,Female,2002-11-20,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
96,Van,Whitehead,Male,2003-02-13,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
97,Rhonda,Sexton,Female,2009-02-27,3,1,2025-07-26 18:07:00,2025-07-26 18:07:00
98,Susie,Sexton,Female,2010-11-15,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
99,Frederick,Sexton,Male,2010-10-16,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
100,Rena,Sexton,Female,2011-07-16,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
101,Luis,Sexton,Male,2012-06-25,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
102,Thanh,Bryant,Male,2002-02-22,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
103,Jessie,Bryant,Female,2003-09-05,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
104,Peggy,Berry,Female,2003-08-02,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
105,Tasha,Berry,Female,2004-04-18,8,1,2025-07-26 18:07:00,2025-07-26 18:07:00
106,Pablo,Berry,Male,2005-04-28,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
107,Leola,Robinson,Female,2004-02-11,8,1,2025-07-26 18:07:00,2025-07-26 18:07:00
108,Polly,Vasquez,Female,2001-11-26,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
109,Deandre,Vasquez,Male,2002-09-23,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
110,Mona,Vasquez,Female,2003-01-13,9,1,2025-07-26 18:07:00,2025-07-26 18:07:00
111,Janis,Maddox,Female,2011-03-15,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
112,Lonnie,Maddox,Male,2010-10-03,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
113,Ines,Dodson,Female,2002-07-09,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
114,Janna,Turner,Female,2011-07-15,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
115,Fay,Turner,Female,2010-03-14,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
116,Adriana,Turner,Female,2012-04-18,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
117,Shawn,Turner,Male,2012-03-17,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
118,Clarence,Turner,Male,2012-01-04,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
119,Chester,Turner,Male,2011-02-12,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
120,Ellis,Knox,Male,2000-06-20,12,1,2025-07-26 18:07:00,2025-07-26 18:07:00
121,Kelli,Knox,Female,2001-12-03,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
122,Jayne,Knox,Female,2002-07-21,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
123,Ofelia,Keller,Female,2011-03-17,0,1,2025-07-26 18:07:00,2025-07-26 18:07:00
124,Darla,Waller,Female,2007-05-26,5,1,2025-07-26 18:07:00,2025-07-26 18:07:00
125,Freeman,Waller,Male,2008-12-17,4,1,2025-07-26 18:07:00,2025-07-26 18:07:00
126,Tonia,Church,Female,2005-08-05,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
127,Harris,Church,Male,2006-12-10,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
128,Kimberley,Schroeder,Female,2005-12-15,7,1,2025-07-26 18:07:00,2025-07-26 18:07:00
129,Norberto,Schroeder,Male,2006-05-06,6,1,2025-07-26 18:07:00,2025-07-26 18:07:00
130,Shelly,Estrada,Female,2010-10-09,2,1,2025-07-26 18:07:00,2025-07-26 18:07:00
131,Jeffrey,Estrada,Male,2011-05-05,1,1,2025-07-26 18:07:00,2025-07-26 18:07:00
132,Sanford,Kelley,Male,2001-11-27,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
133,Queen,Kelley,Female,2002-05-13,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
134,Alexander,Cooke,Male,2001-08-09,11,1,2025-07-26 18:07:00,2025-07-26 18:07:00
135,Leonor,Cooke,Female,2002-01-22,10,1,2025-07-26 18:07:00,2025-07-26 18:07:00
136,Roy,Villarreal,Male,2000-04-15,12,1,2025-07-26 18:07:00,2025-07-26 18:07:00
