teacher_id,first_name,last_name,department_id
1,Martha,Lucero,1
2,John,Perez,2
3,Deborah,Robinson,3
4,Alexander,Sanchez,4
5,Andrew,Salazar,5
6,Mary,Perry,6
7,Andrea,Carroll,7
8,Robert,Abbott,8
9,Beverly,Burton,9
10,Pamela,Werner,1
11,Julie,Mann,2
12,Tina,Lara,3
13,Joseph,Wood,4
14,Rachel,Giles,5
15,Luke,Kelly,6
16,Susan,Taylor,7
17,Michelle,Andersen,8
18,John,Medina,9
19,David,Pollard,1
20,Kristen,Romero,2
21,Thomas,Edwards,3
22,Lindsay,Munoz,4
23,Jennifer,Robbins,5
24,Deanna,Spencer,6
25,Traci,Marshall,7
26,Audrey,Brown,8
27,Christine,Crawford,9
28,Ryan,Benton,1
29,George,Castro,2
30,Angelica,Brown,3
31,Michael,Dillon,4
32,Dylan,Fleming,5
33,Cameron,Higgins,6
34,Ashley,Valentine,7
35,Jessica,Reeves,8
36,Travis,Padilla,9
37,Sherri,Andersen,1
38,Jason,Hayes,2
39,Amanda,Leonard,3
40,Mark,Hudson,4
41,Nancy,Shah,5
42,Douglas,Ryan,6
43,Erin,Edwards,7
44,Adam,Lynch,8
45,Jennifer,Howard,9
46,David,Madden,1
47,Christina,Moreno,2
48,Jessica,Oconnor,3
49,John,Guzman,4
50,Katherine,White,5
51,Howard,Banks,6
52,Troy,Wilson,7
53,Christopher,Shah,8
54,Audrey,Rush,9
55,Paul,Russell,1
56,Heather,Taylor,2
57,Matthew,Davis,3
58,Michael,Mann,4
59,Natasha,Porter,5
60,Jack,Morales,6
61,Jeremy,Duke,7
