student_id,first_name,last_name,gender,date_of_birth,grade_level_id
193,Nicholas,Marsh,M,2005-10-18,6
267,Brett,Farmer,M,2003-10-15,8
351,Tony,Huerta,M,2001-06-21,11
371,Christopher,Sloan,M,2000-11-18,11
418,Jeffery,Rodriguez,M,1999-06-05,12
425,Sarah,Curtis,F,1999-02-14,13
426,Juan,Glenn,M,1999-10-26,13
427,Jesse,Perez,M,1998-06-17,13
428,Samantha,Ross,F,1999-05-12,13
429,Anna,Simmons,F,1999-10-11,13
430,David,Mckay,M,1999-09-16,13
431,Thomas,Jones,M,1998-09-24,13
432,Angela,Reynolds,F,1998-11-20,13
433,Nancy,Cain,F,1998-10-17,13
434,Anthony,Frye,M,1999-08-05,13
435,Gary,Martinez,M,1998-08-07,13
437,Shawna,Griffith,F,1999-06-14,13
438,Lindsay,Bell,F,1999-04-22,13
439,Jordan,Moore,M,1999-08-13,13
440,Courtney,Rodriguez,F,1998-07-07,13
441,Kristie,Wilson,F,1998-11-25,13
442,Laura,Aguirre,F,1999-04-19,13
443,Justin,Saunders,M,1998-11-25,13
444,Lisa,Day,F,1999-08-30,13
445,Lisa,Barrett,F,1998-01-11,13
446,Debra,White,F,1998-09-27,13
447,Pamela,Dorsey,F,1998-09-30,13
448,Abigail,Kane,F,1999-05-17,13
449,Matthew,Jones,M,1998-08-08,13
450,Madeline,Johnson,F,1999-10-15,13
451,Kerry,Bennett,F,1998-10-17,13
452,Glen,Wood,M,1998-06-26,13
453,Erika,Pugh,F,1998-10-08,13
454,Bradley,Williams,M,1999-08-20,13
455,Nicole,Williams,F,1998-03-03,13
456,Denise,Stanley,F,1999-02-01,13
457,Lawrence,Perry,M,1999-07-08,13
458,Paul,Wilson,M,1998-03-25,13
459,Brian,Gregory,M,1999-06-16,13
460,Katelyn,Estrada,F,1998-08-19,13
461,Connie,Joyce,F,1999-01-18,13
462,Adam,Turner,M,1999-01-22,13
111,Larry,Robbins,M,2008-04-19,5
262,Phillip,Obrien,M,2004-08-04,9
340,Shane,Wallace,M,2002-10-01,11
387,Brian,Young,M,2000-07-10,13
388,Brandy,Chavez,F,2000-07-27,13
389,Tiffany,Horton,F,2000-09-17,13
390,Jason,Newton,M,2000-07-28,13
391,Stacey,Pena,F,2000-03-01,13
392,John,Russell,M,2000-11-19,13
393,Amanda,Wood,F,1999-04-19,13
394,Jill,Young,F,1999-06-22,13
