teacher_id,first_name,last_name,department_id
9,Beverly,Burton,9
17,Michelle,Andersen,8
39,Amanda,Leonard,3
49,John,Guzman,4
42,Douglas,Ryan,6
47,Christina,Moreno,2
53,Christopher,Shah,8
55,Paul,Russell,1
57,Matthew,Davis,3
10,Pamela,Werner,1
24,Deanna,Spencer,6
36,Travis,Padilla,9
12,Tina,Lara,3
15,Luke,Kelly,6
37,Sherri,Andersen,1
40,Mark,Hudson,4
41,Nancy,Shah,5
46,David,Madden,1
51,Howard,Banks,6
22,Lindsay,Munoz,4
33,Cameron,Higgins,6
35,Jessica,Reeves,8
50,Katherine,White,5
2,John,Perez,2
16,Susan,Taylor,7
30,Angelica,Brown,3
60,Jack,Morales,6
6,Mary,Perry,6
31,Michael,Dillon,4
61,Jeremy,Duke,7
8,Robert,Abbott,8
13,Joseph,Wood,4
20,Kristen,Romero,2
25,Traci,Marshall,7
26,Audrey,Brown,8
28,Ryan,Benton,1
1,Martha,Lucero,1
3,Deborah,Robinson,3
4,Alexander,Sanchez,4
5,Andrew,Salazar,5
11,Julie,Mann,2
14,Rachel,Giles,5
18,John,Medina,9
21,Thomas,Edwards,3
23,Jennifer,Robbins,5
27,Christine,Crawford,9
29,George,Castro,2
32,Dylan,Fleming,5
34,Ashley,Valentine,7
38,Jason,Hayes,2
43,Erin,Edwards,7
44,Adam,Lynch,8
48,Jessica,Oconnor,3
52,Troy,Wilson,7
54,Audrey,Rush,9
56,Heather,Taylor,2
59,Natasha,Porter,5
62,Sheila,Evans,2
63,Mark,Lynch,3
64,Brittany,Farmer,7
65,Joshua,Osborne,9
66,Joseph,Smith,5
67,Jodi,Brown,6
68,Sandra,Jones,4
69,Sharon,Wyatt,6
70,Lucas,Hunter,4
71,Jimmy,Thompson,8
72,Megan,Mcbride,1
73,Tamara,Lawrence,2
74,Megan,Edwards,4
75,Cynthia,Wilson,4
76,Jordan,Morse,2
77,Cassandra,Lane,8
78,Nicholas,Anderson,8
79,Marcus,Alexander,8
80,Tammy,Hall,9
81,Melissa,Moore,9
82,Nicholas,Miller,1
83,Patrick,Sanchez,1
84,Marc,Hernandez,9
85,Ronnie,Roberts,3
86,Jason,Cooper,7
87,Maria,Nguyen,1
88,Leslie,Terry,1
89,Sarah,Wallace,1
90,Michael,Anderson,6
91,Michael,Boyer,1
92,Bruce,Lewis,2
93,John,Francis,5
94,Doris,Thomas,6
95,Colleen,Goodman,2
96,Nancy,Smith,6
97,Bobby,Hampton,7
98,Johnny,Williams,7
99,Elizabeth,Riggs,5
100,Scott,Pennington,4
101,Zachary,Chen,6
102,John,Wells,2
