student_id,first_name,last_name,gender,date_of_birth,grade_level_id
1,Brian,Figueroa,M,2010-09-06,11
2,Daniel,Doyle,M,2009-04-06,11
3,Patrick,Gardner,M,2010-09-20,11
4,Javier,Johnson,M,2010-08-18,11
5,David,Guzman,M,2009-03-26,11
6,Cristian,Santos,M,2010-08-06,11
7,Jason,Cole,M,2010-07-31,11
8,Robert,Smith,M,2010-04-19,11
9,Christopher,Henderson,M,2009-11-09,11
10,Brittney,Bernard,F,2009-04-18,11
11,Brian,James,M,2010-05-11,11
12,Sarah,Munoz,F,2009-05-20,11
13,Andrew,Stevens,M,2009-11-10,11
15,Edward,Fuller,M,2010-08-03,11
16,Scott,Ray,M,2009-12-10,11
17,Andrea,Stanley,F,2009-10-01,11
18,Dylan,Miller,M,2009-10-28,11
19,Sean,James,M,2009-04-01,11
20,Mark,Diaz,M,2009-06-26,11
21,Heather,Santiago,F,2009-05-24,11
22,Timothy,Wong,M,2010-09-30,11
23,Mark,Ferguson,M,2010-08-25,11
24,Christopher,Gray,M,2009-04-06,11
26,Erika,Tate,F,2009-09-23,11
27,Crystal,Johnson,F,2009-01-22,11
28,Jennifer,Jones,F,2010-05-03,11
29,Tommy,Walter,M,2009-12-21,11
31,Thomas,Ellis,M,2010-12-10,11
32,Brenda,Mcgee,F,2010-04-13,11
33,Deborah,Richards,F,2009-07-29,11
34,Lauren,Cox,F,2010-12-15,11
35,Jordan,Davis,M,2010-02-23,11
36,Shannon,Hernandez,F,2010-01-19,11
37,Rebecca,Henderson,F,2009-03-04,11
38,James,Carlson,M,2010-01-25,11
39,Joseph,Maddox,M,2009-07-01,11
40,Terri,Frazier,F,2008-11-30,12
41,Michael,Herrera,M,2008-02-14,12
43,Jessica,Chavez,F,2009-04-24,12
44,Sherri,Baker,F,2008-10-07,12
45,Philip,Romero,M,2008-07-13,12
48,Phillip,Ryan,M,2009-05-26,12
49,Tammy,Sellers,F,2009-10-30,12
50,Erika,Smith,F,2009-08-21,12
51,Heidi,Galloway,F,2008-12-26,12
52,Eric,Brown,M,2008-11-09,12
53,Latoya,Miller,F,2009-12-07,12
54,John,Jones,M,2008-10-11,12
55,Kim,Martinez,F,2008-10-22,12
56,Karen,Pierce,F,2009-09-14,12
57,Kelsey,Obrien,F,2009-04-13,12
59,Curtis,Collins,M,2008-09-24,12
60,Marie,Kim,F,2009-09-18,12
61,Jesse,Wright,M,2009-07-21,12
62,Gina,Chapman,F,2008-01-25,12
63,Kevin,Smith,M,2009-03-31,12
64,Lynn,Perez,F,2008-10-01,12
65,Andre,Rivera,M,2009-12-18,12
66,David,Caldwell,M,2009-07-19,12
67,Kimberly,Cummings,F,2009-03-25,12
68,Kenneth,Kennedy,M,2009-12-09,12
69,Kara,Russell,F,2009-11-01,12
70,Anne,Jordan,F,2009-02-06,12
71,Jason,Shields,M,2008-06-13,12
73,Amy,Chandler,F,2008-02-08,12
74,Shannon,Wright,F,2008-11-06,12
75,Joshua,Taylor,M,2009-03-15,12
76,Donald,Wright,M,2009-03-13,12
77,Bernard,Morton,M,2008-12-24,12
78,Joshua,Williams,M,2009-11-29,12
80,Paul,Young,M,2008-12-25,13
82,Steven,Martin,M,2007-06-05,13
83,Victoria,Baker,F,2008-01-01,13
84,Richard,Mitchell,M,2007-11-01,13
85,Tina,Cowan,F,2008-09-27,13
86,Mary,Tucker,F,2008-08-03,13
87,Edward,Novak,M,2007-03-15,13
89,Amy,Silva,F,2007-05-02,13
90,Tamara,Schmidt,F,2007-07-15,13
91,Tyler,Miller,M,2007-01-23,13
94,Keith,Riley,M,2008-12-11,13
95,Manuel,Barnes,M,2008-01-16,13
96,Keith,Stewart,M,2007-08-15,13
97,Dan,Moran,M,2007-04-12,13
99,Elijah,Stewart,M,2008-09-07,13
100,Timothy,Smith,M,2007-10-19,13
101,Zachary,Ferrell,M,2008-08-29,13
102,Joshua,Wagner,M,2008-01-29,13
103,Taylor,Ibarra,F,2008-02-21,13
104,Dana,Mitchell,F,2007-12-08,13
105,Sandra,Warner,F,2008-06-19,13
106,William,Roman,M,2008-08-25,13
107,Adam,Montoya,M,2007-07-25,13
108,Tara,Garcia,F,2007-04-27,13
109,Brandy,Wilson,F,2007-12-08,13
110,Natalie,Moore,F,2007-02-11,13
111,Larry,Robbins,M,2008-04-19,13
112,Michael,Farrell,M,2007-03-21,13
113,John,Whitehead,M,2008-07-15,13
114,Anthony,Walters,M,2007-11-25,13
115,Destiny,Smith,F,2008-11-18,13
116,Carlos,Whitney,M,2008-10-26,13
117,Patrick,Arnold,M,2008-03-03,13
501,Brian,Campbell,M,2011-05-07,10
502,Donald,Walker,M,2011-06-15,10
503,Brian,Reese,M,2011-06-14,10
504,Steven,Miller,M,2011-06-15,10
505,Amanda,Davis,F,2011-02-11,10
506,Jonathan,Johnson,M,2010-11-30,10
507,Michelle,Miles,F,2010-11-17,10
508,Connie,Lawrence,F,2011-02-10,10
509,Sheila,Walters,F,2011-07-12,10
510,Robert,Wolfe,M,2011-06-22,10
511,Donald,Lewis,M,2011-01-11,10
512,George,Hughes,M,2011-06-24,10
513,James,Howard,M,2010-10-07,10
514,Larry,Roman,M,2011-01-12,10
515,Joe,Martinez,M,2011-06-11,10
516,Jamie,Arnold,F,2011-08-25,10
517,Mark,Mcclure,M,2011-07-20,10
518,Laura,Bush,F,2011-01-19,10
519,Mary,Mejia,F,2010-09-18,10
520,Scott,Johnson,M,2010-10-01,10
521,Ashlee,Ramirez,F,2011-08-03,10
522,Sandra,Martin,F,2011-05-05,10
523,Daniel,Adams,M,2011-01-16,10
524,Michael,Phillips,M,2011-08-30,10
525,Lisa,Jackson,F,2010-09-28,10
526,David,Ford,M,2011-06-11,10
527,William,Bowman,M,2010-12-14,10
528,Daniel,Nguyen,M,2011-04-05,10
529,Patty,Perez,F,2011-06-26,10
533,Jonathan,Campbell,M,2011-05-13,10
534,Suzanne,Ellis,F,2011-08-10,10
536,Dennis,Richards,M,2011-03-29,10
537,Lauren,Cox,F,2011-08-15,10
538,Katrina,Davis,F,2010-10-24,10
539,Shannon,Cortez,F,2010-09-19,10
540,Mark,Conner,M,2010-10-30,10
541,Kyle,Cruz,M,2011-02-11,10
542,Zachary,Reese,M,2011-04-20,10
543,David,Tran,M,2009-03-25,12
544,Pamela,Ryan,F,2008-01-24,13
545,Thomas,Sellers,M,2010-06-30,11
550,Jennifer,Bishop,F,2012-05-16,9
551,Shane,Drake,M,2012-01-17,9
552,Joyce,Hale,F,2011-09-02,9
553,Russell,Buckley,M,2012-06-08,9
554,Lindsay,Melton,F,2011-09-10,9
555,Trevor,Walton,M,2011-12-18,9
556,Isabella,Montgomery,F,2011-12-06,9
557,Sheila,Robertson,F,2012-05-13,9
558,Cole,Andersen,M,2012-05-14,9
559,Erica,Lynch,F,2012-07-12,9
560,Heather,Williams,F,2012-05-04,9
561,Nancy,Gregory,F,2012-07-10,9
562,Lisa,Newton,F,2011-11-30,9
563,Patrick,Walters,M,2012-02-03,9
564,Brad,Patterson,M,2012-07-05,9
565,Teresa,Alvarez,F,2012-08-27,9
566,Shannon,Stein,F,2012-05-13,9
567,James,Lawson,M,2012-06-12,9
568,Charles,Jones,M,2012-06-03,9
569,Shawn,Glover,M,2012-03-20,9
570,Kathy,Anderson,F,2012-06-05,9
571,Brandon,Collier,M,2012-07-06,9
572,Victoria,Owens,F,2012-04-01,9
573,Jill,Wilson,F,2012-08-14,9
574,Kimberly,Sanchez,F,2012-05-15,9
575,Nicole,Keller,F,2011-11-06,9
576,Brian,Holder,M,2011-10-05,9
577,Christopher,Harmon,M,2011-09-12,9
579,Daniel,Scott,M,2011-12-18,9
580,Tiffany,Lambert,F,2012-03-03,9
581,Chad,Nichols,M,2012-05-16,9
582,John,Pope,M,2012-06-08,9
583,Shelby,Wilson,F,2012-01-08,9
584,Laura,Bradshaw,F,2012-08-27,9
586,Patrick,Hardy,M,2012-06-05,9
587,Martin,Hoffman,M,2012-05-11,9
588,Jeffrey,Peterson,M,2012-07-29,9
594,Monica,Campbell,F,2008-03-23,13
598,Regina,Thornton,F,2013-03-11,8
600,Christopher,Mccoy,M,2013-05-04,8
601,Luke,Carr,M,2013-05-24,8
602,Carl,Campbell,M,2013-04-21,8
604,Jaclyn,Waller,F,2012-10-20,8
605,Alicia,Wood,F,2012-09-25,8
606,Christine,Nguyen,F,2012-12-05,8
607,Thomas,Orr,M,2012-11-30,8
608,Sydney,Rodriguez,F,2013-05-05,8
609,Richard,Peters,M,2013-03-04,8
610,Rebecca,Hale,F,2013-04-13,8
611,Bethany,Morris,F,2013-08-17,8
612,Laura,Dominguez,F,2013-05-04,8
613,Crystal,Watkins,F,2013-08-20,8
614,Robert,Wright,M,2012-12-02,8
615,Julie,Smith,F,2013-04-07,8
616,Shirley,Cruz,F,2013-03-18,8
617,Loretta,Miller,F,2012-10-28,8
618,Joel,Mccullough,M,2013-03-10,8
619,Derek,Cole,M,2013-06-10,8
620,Corey,Carrillo,M,2013-06-29,8
622,John,Walker,M,2012-09-23,8
623,Erin,Summers,F,2012-09-02,8
624,Kristina,Stewart,F,2013-03-07,8
625,Don,Flores,M,2013-07-02,8
626,Larry,Herrera,M,2013-01-01,8
627,Rita,Miller,F,2013-07-18,8
628,Tina,Scott,F,2012-11-13,8
629,Larry,Allen,M,2013-04-21,8
630,Nicholas,Kim,M,2012-12-24,8
631,Stacey,Daniels,F,2013-06-13,8
632,Robert,Campbell,M,2013-03-23,8
633,Jamie,Haynes,F,2013-07-05,8
634,Adam,Johnston,M,2013-07-29,8
635,Christina,Phillips,F,2012-12-11,8
637,Jackie,Parsons,F,2012-10-01,8
638,Jillian,Reyes,F,2012-10-28,8
639,Linda,Blake,F,2012-10-31,8
640,Timothy,Watkins,M,2012-10-12,8
641,Donald,Mccarthy,M,2013-02-25,8
642,Christopher,Reeves,M,2012-03-22,9
644,Jordan,Roberts,M,2012-09-08,8
647,Cathy,Woods,F,2014-07-10,7
648,Robert,Smith,M,2013-09-01,7
649,Jessica,Moore,F,2013-11-05,7
650,Benjamin,Camacho,M,2013-09-06,7
651,Anne,Ryan,F,2014-03-12,7
652,Mary,Hernandez,F,2014-06-11,7
653,Todd,Duncan,M,2013-09-29,7
654,Michelle,Bullock,F,2014-06-20,7
655,Jamie,Patel,M,2014-04-29,7
656,Jordan,Johnson,F,2014-05-10,7
657,John,Jones,M,2014-03-23,7
658,John,Adams,M,2014-02-13,7
659,Crystal,Hernandez,F,2014-03-07,7
660,Lindsay,Townsend,F,2014-07-07,7
661,Jeffrey,Price,M,2013-10-22,7
662,Alyssa,Haley,F,2014-06-24,7
663,Laura,Moreno,F,2014-05-29,7
664,Karen,Stephens,F,2014-04-30,7
665,Cynthia,Barker,F,2014-01-15,7
666,Taylor,Shepard,F,2014-05-06,7
667,Kenneth,Moon,M,2014-05-25,7
668,Ellen,Wilson,F,2014-05-28,7
669,Mark,Reyes,M,2013-10-06,7
670,Chelsea,Mckay,F,2013-12-29,7
671,Neil,Lane,M,2014-05-20,7
672,Catherine,Mccullough,F,2014-01-09,7
673,Brianna,Moore,F,2013-10-19,7
674,Benjamin,Wilkinson,M,2014-04-16,7
675,Gregory,Aguirre,M,2014-06-28,7
676,Wendy,Hart,F,2013-12-15,7
